age,education_level,native_language,learning_goal,activity_type,time_spent_seconds,feedback_given,avg_sentence_length,grammar_error_rate,lexical_density,cohesion_score,syntax_complexity,language_proficiency
20,1,0,0,1,462,0,14.989573901689742,0.18440278229003035,0.5635523209856409,0.4433969383983387,0.3602602784706791,1
33,2,2,1,2,274,1,9.81100612853662,0.533624379695074,0.5127956946480055,0.8585790627217977,0.8028087369458354,1
28,1,4,1,2,346,0,8.932243949183725,0.19986656011375656,0.4774661498680868,0.6514279532668482,0.39498005705751366,0
24,1,2,0,1,324,0,11.091115869377097,0.2858668976545043,0.7694935413944043,0.5481132832046979,0.5483361321323613,1
21,0,2,2,0,311,0,12.071685290958898,0.14826462333301427,0.7222681941320761,0.6806360100620826,0.2822722822357441,1
34,2,2,1,3,46,1,11.207486970253997,0.41783882451965787,0.6596274969844664,0.535548528084045,0.6554909620797427,1
20,2,1,0,0,100,0,11.81724650168765,0.2949923251503436,0.8759358678255108,0.45904511195923914,0.4538958137978225,1
39,2,2,1,3,298,0,12.664433093027748,0.016162018990640948,0.5108797513610299,0.6079070268208828,0.3275768545132277,1
32,1,1,2,0,354,0,7.895193183823113,0.14081866243857386,0.5580284585392375,0.670007269632624,0.6782751521052058,0
36,1,0,0,2,334,1,8.240113118090205,0.438304587832957,0.670090275513127,0.7278410895261888,0.7154302092357832,0
24,1,4,1,1,480,1,3.8331667772305664,0.10193346150371971,0.449848682713923,0.6497730109558992,0.7205154172578044,0
24,0,4,2,1,36,1,14.827635685360416,0.3622001016855536,0.5770520528386239,0.5470654476330669,0.27155743259221643,1
37,1,4,1,2,343,0,12.045681061852347,0.14955767728153715,0.2160008050348734,0.7386276082080823,0.7360314380074576,1
34,0,4,2,3,132,1,15.14355339439547,0.49359917689801525,0.26222415129638393,0.716297582623604,0.45492264792543025,1
17,2,4,2,3,222,0,8.586786012565824,0.1907872817721293,0.842296544552512,0.6269017527771541,0.8077255206385846,1
21,1,4,0,3,558,0,12.073222018599486,0.11641058771692084,0.1907859983379636,0.7210777746823495,0.5937430547096235,1
37,0,4,2,2,200,1,12.644479518349804,0.0883279311449776,0.6235292251406805,0.8184810310984808,0.537699689068774,1
